sample.ID	location	coral.species	experiment	temperature	temp.intensity	replicate.group	tank	reef.site	genotype	raw.PAM.yield	yield
S5-P-ST-39A	KAUST	Stylophora	CBASS	39	Extreme	A	A4	Protected	5P	198	0.198
S6-P-ST-39A	KAUST	Stylophora	CBASS	39	Extreme	A	A4	Protected	6P	48	0.048
S7-P-ST-39A	KAUST	Stylophora	CBASS	39	Extreme	A	A4	Protected	7P	185	0.185
S1-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	B	B4	Protected	1P	113	0.113
S2-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	B	B4	Protected	2P	102	0.102
S3-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	B	B4	Protected	3P	105	0.105
S4-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	B	B4	Protected	4P	138	0.138
S5-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	B	B4	Protected	5P	177	0.177
S6-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	B	B4	Protected	6P	26	0.026
S7-P-ST-39B	KAUST	Stylophora	CBASS	39	Extreme	B	B4	Protected	7P	184	0.184
S1-E-ST-36A	KAUST	Stylophora	CBASS	36	High	A	A3	Exposed	1E	285	0.285
S2-E-ST-36A	KAUST	Stylophora	CBASS	36	High	A	A3	Exposed	2E	439	0.439
S3-E-ST-36A	KAUST	Stylophora	CBASS	36	High	A	A3	Exposed	3E	366	0.366
S4-E-ST-36A	KAUST	Stylophora	CBASS	36	High	A	A3	Exposed	4E	565	0.565
S5-E-ST-36A	KAUST	Stylophora	CBASS	36	High	A	A3	Exposed	5E	517	0.517
S6-E-ST-36A	KAUST	Stylophora	CBASS	36	High	A	A3	Exposed	6E	529	0.529
S7-E-ST-36A	KAUST	Stylophora	CBASS	36	High	A	A3	Exposed	7E	506	0.506
S1-E-ST-36B	KAUST	Stylophora	CBASS	36	High	B	B3	Exposed	1E	402	0.402
S2-E-ST-36B	KAUST	Stylophora	CBASS	36	High	B	B3	Exposed	2E	269	0.269
S3-E-ST-36B	KAUST	Stylophora	CBASS	36	High	B	B3	Exposed	3E	506	0.506
S4-E-ST-36B	KAUST	Stylophora	CBASS	36	High	B	B3	Exposed	4E	457	0.457
S5-E-ST-36B	KAUST	Stylophora	CBASS	36	High	B	B3	Exposed	5E	526	0.526
S6-E-ST-36B	KAUST	Stylophora	CBASS	36	High	B	B3	Exposed	6E	496	0.496
S7-E-ST-36B	KAUST	Stylophora	CBASS	36	High	B	B3	Exposed	7E	354	0.354
S1-P-ST-36A	KAUST	Stylophora	CBASS	36	High	A	A3	Protected	1P	570	0.57
S2-P-ST-36A	KAUST	Stylophora	CBASS	36	High	A	A3	Protected	2P	569	0.569
S3-P-ST-36A	KAUST	Stylophora	CBASS	36	High	A	A3	Protected	3P	522	0.522
S4-P-ST-36A	KAUST	Stylophora	CBASS	36	High	A	A3	Protected	4P	545	0.545
S5-P-ST-36A	KAUST	Stylophora	CBASS	36	High	A	A3	Protected	5P	510	0.51
S6-P-ST-36A	KAUST	Stylophora	CBASS	36	High	A	A3	Protected	6P	438	0.438
S7-P-ST-36A	KAUST	Stylophora	CBASS	36	High	A	A3	Protected	7P	532	0.532
S1-P-ST-36B	KAUST	Stylophora	CBASS	36	High	B	B3	Protected	1P	525	0.525
S2-P-ST-36B	KAUST	Stylophora	CBASS	36	High	B	B3	Protected	2P	477	0.477
S3-P-ST-36B	KAUST	Stylophora	CBASS	36	High	B	B3	Protected	3P	483	0.483
S4-P-ST-36B	KAUST	Stylophora	CBASS	36	High	B	B3	Protected	4P	507	0.507
S5-P-ST-36B	KAUST	Stylophora	CBASS	36	High	B	B3	Protected	5P	586	0.586
S6-P-ST-36B	KAUST	Stylophora	CBASS	36	High	B	B3	Protected	6P	376	0.376
S7-P-ST-36B	KAUST	Stylophora	CBASS	36	High	B	B3	Protected	7P	539	0.539
S1-E-ST-33A	KAUST	Stylophora	CBASS	33	Medium	A	A2	Exposed	1E	319	0.319
S2-E-ST-33A	KAUST	Stylophora	CBASS	33	Medium	A	A2	Exposed	2E	499	0.499
S3-E-ST-33A	KAUST	Stylophora	CBASS	33	Medium	A	A2	Exposed	3E	553	0.553
S4-E-ST-33A	KAUST	Stylophora	CBASS	33	Medium	A	A2	Exposed	4E	322	0.322
S5-E-ST-33A	KAUST	Stylophora	CBASS	33	Medium	A	A2	Exposed	5E	519	0.519
S6-E-ST-33A	KAUST	Stylophora	CBASS	33	Medium	A	A2	Exposed	6E	533	0.533
S7-E-ST-33A	KAUST	Stylophora	CBASS	33	Medium	A	A2	Exposed	7E	584	0.584
S1-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	B	B2	Exposed	1E	441	0.441
S2-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	B	B2	Exposed	2E	455	0.455
S3-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	B	B2	Exposed	3E	533	0.533
S4-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	B	B2	Exposed	4E	346	0.346
S5-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	B	B2	Exposed	5E	570	0.57
S6-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	B	B2	Exposed	6E	540	0.54
S7-E-ST-33B	KAUST	Stylophora	CBASS	33	Medium	B	B2	Exposed	7E	572	0.572
S1-P-ST-33A	KAUST	Stylophora	CBASS	33	Medium	A	A2	Protected	1P	434	0.434
S2-P-ST-33A	KAUST	Stylophora	CBASS	33	Medium	A	A2	Protected	2P	497	0.497
S3-P-ST-33A	KAUST	Stylophora	CBASS	33	Medium	A	A2	Protected	3P	470	0.47
S4-P-ST-33A	KAUST	Stylophora	CBASS	33	Medium	A	A2	Protected	4P	460	0.46
S5-P-ST-33A	KAUST	Stylophora	CBASS	33	Medium	A	A2	Protected	5P	605	0.605
S6-P-ST-33A	KAUST	Stylophora	CBASS	33	Medium	A	A2	Protected	6P	552	0.552
S7-P-ST-33A	KAUST	Stylophora	CBASS	33	Medium	A	A2	Protected	7P	552	0.552
S1-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	B	B2	Protected	1P	526	0.526
S2-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	B	B2	Protected	2P	512	0.512
S3-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	B	B2	Protected	3P	509	0.509
S4-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	B	B2	Protected	4P	512	0.512
S5-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	B	B2	Protected	5P	565	0.565
S6-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	B	B2	Protected	6P	560	0.56
S7-P-ST-33B	KAUST	Stylophora	CBASS	33	Medium	B	B2	Protected	7P	550	0.55
